name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,game_week
Salom�n_Rond�n,0,19,0,1,0,-5,0,1,10,1.1,1,0,449,0,0,169,0,2,0,1.5,9821,0,0,2016-12-17T17:30:00Z,12/17/19 17:30,0,0,90,1,0,11,0,0,0,0,1,0,17,0,317177,4,0,1,2,0,14,1,86329,95245,8916,66,TRUE,0,1,17
Samir_Nasri,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,164,0,0,0,0,9601,0,0,2016-12-18T16:00:00Z,12/18/19 16:00,0,0,0,0,0,1,0,0,0,0,0,0,17,0,6805,0,0,0,1,2,0,0,-33,16,49,64,TRUE,0,0,17
Sam_Byram,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,170,0,0,0,0,9829,0,0,2016-12-17T15:00:00Z,12/17/19 15:00,0,0,0,0,0,7,0,0,0,0,0,0,17,0,11445,0,0,0,0,1,0,0,-265,9,274,43,TRUE,0,0,17
Sam_Clucas,0,28,0,0,0,12,0,3,19,13,1,0,156,0,0,170,1,1,0,4,9528,13.2,1,2016-12-17T15:00:00Z,12/17/19 15:00,0,0,90,0,0,20,0,0,0,0,6,0,17,0,2088,1,2,1,0,1,14,2,-34,39,73,47,FALSE,0,0,17
Sam_Field,0,0,0,0,0,0,0,0,0,0,0,0,511,0,0,169,0,0,0,0,9883,0,0,2016-12-17T17:30:00Z,12/17/19 17:30,0,0,0,0,0,11,0,0,0,0,0,0,17,0,547,0,0,0,2,0,0,0,-6,4,10,44,TRUE,0,0,17
Sam_McQueen,0,0,0,0,0,0,0,0,0,0,0,0,592,0,0,161,0,0,0,0,9964,0,0,2016-12-18T13:30:00Z,12/18/19 13:30,0,0,0,0,0,2,0,0,0,0,0,0,17,0,2604,0,0,0,3,1,0,0,-10,171,181,43,FALSE,0,0,17
Sam_Vokes,0,4,0,0,0,3,0,0,2,0.1,0,0,67,0,0,168,0,0,0,0,9439,0.2,0,2016-12-18T16:00:00Z,12/18/19 16:00,0,0,11,0,0,17,0,0,0,0,0,0,17,0,114328,0,0,0,1,2,0,1,-11964,4943,16907,59,FALSE,0,0,17
Santiago_Cazorla,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,164,0,0,0,0,9387,0,0,2016-12-18T16:00:00Z,12/18/19 16:00,0,0,0,0,0,10,0,0,0,0,0,0,17,0,71079,0,0,0,1,2,0,0,-1272,51,1323,70,FALSE,0,0,17
Scott_Arfield,0,24,0,0,0,12,0,7,16,2.8,0,0,63,0,0,168,1,2,0,3,9435,9.2,0,2016-12-18T16:00:00Z,12/18/19 16:00,0,0,90,0,0,17,0,0,0,0,8,0,17,0,3515,1,2,1,1,2,18,2,-98,55,153,52,FALSE,0,0,17
Scott_Dann,0,42,0,0,0,12,0,5,31,0.3,0,0,104,0,0,162,0,1,0,2.4,9476,13.2,0,2016-12-17T12:30:00Z,12/17/19 12:30,0,0,90,0,0,4,0,0,0,0,7,0,17,0,142377,0,0,0,1,0,10,2,-4424,281,4705,53,TRUE,0,0,17
